episode,reward,avg_reward,max_q,reward_var
2055,0.0,110.95053,2.1032217,0.01240786620300663
2056,0.0,109.74641,-4.086598,0.01240786620300663
2057,0.0,109.11311,-2.5968037,0.01240786620300663
2058,0.0,109.00798,-5.9288764,0.01240786620300663
2059,0.0,108.91834,2.260856,0.01240786620300663
2060,0.0,108.04038,0.14291094,0.01240786620300663
2061,0.0,106.91335,2.1511316,0.0
2062,0.0,105.96988,1.5754827,0.0
2063,0.0,105.12009,0.1847556,0.0
2064,0.0,105.38777,2.0813448,0.0
2065,0.0,104.66204,1.9177195,0.0
2066,0.0,104.38254,1.8032155,0.0
2067,0.0,103.82719,0.45130578,0.0
2068,0.0,102.77503,0.029605731,0.0
2069,0.0,102.288445,1.6784805,0.0
2070,0.0,102.03412,0.078614384,0.0
2071,0.0,102.000336,0.6302184,0.0
2072,0.0,101.09664,0.19289161,0.0
2073,0.0,99.94507,1.9183033,0.0
2074,0.0,99.00419,0.26965243,0.0
2075,0.0,98.94993,1.792364,0.0
2076,0.0,98.04172,1.9160799,0.0
2077,0.0,98.08999,0.8558834,0.0
2078,0.0,97.454666,1.5911325,0.0
2079,0.0,96.485634,0.06309807,0.0
2080,0.0,95.455055,0.46198845,0.0
2081,0.0,94.90786,2.3020515,0.0
2082,0.0,95.10942,1.7602184,0.0
2083,0.0,93.90656,0.13917501,0.0
2084,0.0,93.966774,1.6431193,0.0
2085,0.0,93.972435,2.042409,0.0
2086,0.0,93.26314,0.26982677,0.0
2087,0.0,93.20236,0.8347803,0.0
2088,0.0,93.10509,0.119361535,0.0
2089,0.0,92.993614,0.87548053,0.0
2090,0.0,92.51529,0.21759535,0.0
2091,0.0,91.44123,1.4947392,0.0
2092,0.0,91.08112,1.4598943,0.0
2093,0.0,90.89571,1.553029,0.0
2094,0.0,90.59495,1.6713256,0.0
2095,0.0,89.3546,1.5183485,0.0
2096,0.0,88.361565,1.6269708,0.0
2097,0.0,87.12506,1.0666939,0.0
2098,0.0,86.42335,1.7610459,0.0
2099,0.0,85.18566,1.4970394,0.0
2100,0.0,84.065,1.5570847,0.0
2101,0.0,83.11631,1.699914,0.0
2102,0.0,82.729065,0.7770272,0.0
2103,0.0,82.80163,0.23916675,0.0
2104,0.0,82.4034,0.37039578,0.0
2105,0.0,82.44457,1.7243611,0.0
2106,0.0,82.24491,1.4684895,0.0
2107,0.0,81.45476,1.8416439,0.0
2108,0.0,80.36258,1.6481977,0.0
2109,0.0,79.97438,1.6682386,0.0
2110,0.52398956,79.44216,0.2515294,0.005491301179781513
2111,0.0,78.1796,1.6434884,0.005491301179781513
2112,0.0,77.83623,1.4770715,0.005491301179781513
2113,0.0,77.03782,1.7128125,0.005491301179781513
2114,0.0,76.77137,1.6370888,0.005491301179781513
2115,0.0,76.3005,1.4917134,0.005491301179781513
2116,0.0,75.48498,1.5040367,0.005491301179781513
2117,0.0,75.365036,1.8108056,0.005491301179781513
2118,0.0,75.117226,1.395915,0.005491301179781513
2119,0.0,75.18332,1.4451802,0.005491301179781513
2120,0.0,74.7636,1.3413026,0.005491301179781513
2121,0.0,74.698135,1.43987,0.005491301179781513
2122,0.0,74.319084,1.5004038,0.005491301179781513
2123,0.0,73.974556,1.7839987,0.005491301179781513
2124,0.0,73.81241,1.5530484,0.005491301179781513
2125,0.0,73.27828,1.6218741,0.005491301179781513
2126,0.0,72.97413,0.30597395,0.005491301179781513
2127,0.0,72.813225,1.5456885,0.005491301179781513
